Russian,English; British (adj),Spanish,English,Dutch,English,,,
и,and,como,as,als,as,,,
в (во),"(+pr) in; (+a) into, to",yo,I,Ik,I,,,
не,not,su,his,zijn,his,,,
на,"(+pr) on, at; (+a) onto, to",que,that,dat,that,,,
я,I,él,he,hij,he,,,
он,he,era,was,was,was,,,
что,"what, that",para,for,voor,for,,,
с (со),"(+inst) with; (+g) from, off",en,on,op,on,,,
это,"this, that, it",son,are,zijn,are,,,
быть (i) (pres: есть),"to be; there is, there are",con,with,met,with,,,
а,"and, but (slight contrast)",ellos,they,ze,they,,,
"весь (f вся, n всё, pl все)",all,ser,be,zijn,be,,,
они,they,en,at,bij,at,,,
она,she,uno,one,een,one,,,
как,"how, as, like",tener,have,hebben,have,,,
мы,we,este,this,deze,this,,,
к (ко) (+d),"towards, to",desde,from,van,from,,,
у (+g),by; at (used in ‘have’ construction),por,by,door,by,,,
вы,you (polite/pl),caliente,hot,heet,hot,,,
"этот (f эта, n это, pl эти)",this,palabra,word,woord,word,,,
за,(+a) for; (+inst) behind,pero,but,maar,but,,,
"тот (f та, n то, pl те)",that,qué,what,wat,what,,,
но,but,algunos,some,sommige,some,,,
ты,you (familiar),es,is,is,is,,,
по (+d),along; around; according to,lo,it,het,it,,,
из (изо) (+g),"out of, from",usted,you,u,you,,,
о (об/обо) (+pr),"about, concerning",o,or,of,or,,,
свой,one’s own,tenido,had,had,had,,,
так,so,la,the,de,the,,,
"один (f одна, n одно)",one,de,of,van,of,,,
вот,"here, there (pointing)",a,to,aan,to,,,
который,"which, who",y,and,en,and,,,
наш,our,un,a,een,a,,,
только,only,en,in,in,in,,,
ещё,"still, yet",nos,we,we,we,,,
от (+g),from,lata,can,kan,can,,,
такой,such,fuera,out,uit,out,,,
мочь/с-,to be able,otros,other,andere,other,,,
говорить/по- (с +inst),"to speak; to have a talk, talk (to)",eran,were,waren,were,,,
говорить/сказать,to say,que,which,die,which,,,
для (+g),for,hacer,do,doen,do,,,
уже,already,su,their,hun,their,,,
знать (i) (+a),to know,tiempo,time,tijd,time,,,
да,"yes; and, but",si,if,indien,if,,,
какой,what (kind of),lo hará,will,zal,will,,,
когда,when,cómo,how,hoe,how,,,
другой,"different, other",dicho,said,zei,said,,,
первый,first,un,an,een,an,,,
чтобы,in order to,cada,each,elk,each,,,
его,"his, its",decir,tell,vertellen,tell,,,
год,year,hace,does,doet,does,,,
кто,who,conjunto,set,set,set,,,
дело,"matter, business",tres,three,drie,three,,,
нет,no; (+g) there is no,querer,want,willen,want,,,
её,her,aire,air,lucht,air,,,
очень,very,así,well,goed,well,,,
большой,large,también,also,ook,also,,,
новый,new,jugar,play,spelen,play,,,
становиться/стать (+inst),to become; to stand; p: begin,pequeño,small,klein,small,,,
работа,work,fin,end,end,end,,,
сейчас,"now, right now",poner,put,zetten,put,,,
время (n),time,casa,home,thuis,home,,,
человек (pl люди),person,leer,read,lezen,read,,,
идти/пойти,to go (on foot),mano,hand,de hand,hand,,,
если,if,puerto,port,poort,port,,,
два (f две) ,two,grande,large,grote,large,,,
мой,my,deletrear,spell,spell,spell,,,
жизнь (f),life,añadir,add,toevoegen,add,,,
до (+g),up to; until,incluso,even,zelfs,even,,,
где,where,tierra,land,land,land,,,
каждый,"each, every",aquí,here,hier,here,,,
самый,"the very, most",debe,must,moet,must,,,
хотеть/за-,to want,grande,big,grote,big,,,
здесь,here,alto,high,hoog,high,,,
надо,it is necessary,tal,such,dergelijke,such,,,
люди (pl),people,siga,follow,volgen,follow,,,
теперь,now,acto,act,act,act,,,
дом,house,por qué,why,waarom,why,,,
раз,once; a time,preguntar,ask,vragen,ask,,,
день (m),day,hombres,men,mannen,men,,,
или,or,cambio,change,verandering,change,,,
город,"town, city",se fue,went,ging,went,,,
там,there,luz,light,licht,light,,,
слово,word,tipo,kind,soort,kind,,,
глаз,eye,fuera,off,uitgeschakeld,off,,,
потом,"then, next",necesitará,need,nodig hebben,need,,,
видеть/у- (+a),to see,casa,house,huis,house,,,
их,their,imagen,picture,afbeelding,picture,,,
под (+inst),under,tratar,try,proberen,try,,,
даже,even,nosotros,us,ons,us,,,
думать/по-,to think,de nuevo,again,weer,again,,,
хорошо,well; it is good,animal,animal,dier,animal,,,
можно,it is possible,punto,point,punt,point,,,
тут,here (like здесь),madre,mother,moeder,mother,,,
тысяча,thousand,mundo,world,wereld,world,,,
ли,whether [question word],cerca,near,dichtbij,near,,,
вода,water,construir,build,bouwen,build,,,
ничто/ничего (a/g),nothing,auto,self,zelf,self,,,
много (+g),"much, many, a lot",tierra,earth,aarde,earth,,,
рука,hand; arm,padre,father,vader,father,,,
себя,self [(a) pronoun],cualquier,any,een,any,,,
молодой,young,nuevo,new,nieuwe,new,,,
тоже,too,trabajo,work,werk,work,,,
спрашивать/спросить (+a о +pr),to ask (s.o. about sth),parte,part,deel,part,,,
без (+g),without,tomar,take,nemen,take,,,
делать/с- (+a),"to do, make",conseguir,get,krijgen,get,,,
три,three,lugar,place,plaats,place,,,
всё,all; all the time,hecho,made,gemaakt,made,,,
то,that; then,vivir,live,wonen,live,,,
жить/по-,to live; p: live for a while,donde,where,waar,where,,,
труд,labour,después,after,na,after,,,
"сам (f сама, n само, pl сами)",self,espalda,back,terug,back,,,
хороший,good,poco,little,weinig,little,,,
второй,second,sólo,only,alleen,only,,,
через (+a),"across, via, after",ronda,round,ronde,round,,,
место,place,hombre,man,man,man,,,
после (+g),after,años,year,jaar,year,,,
страна,country,vino,came,kwam,came,,,
двадцать,twenty,show,show,Show,show,,,
"должен (f должна, n должно, pl должны)","ought, obliged, must",cada,every,elke,every,,,
больше,more,buena,good,goed,good,,,
ваш,your,me,me,mij,me,,,
дверь (f),door,dar,give,geven,give,,,
друг (pl друзья),friend,nuestro,our,onze,our,,,
машина,machine; car,bajo,under,onder,under,,,
комната,room,nombre,name,naam,name,,,
учиться (i),to study,muy,very,zeer,very,,,
над (+inst),above,a través de,through,door,through,,,
голова,head,sólo,just,gewoon,just,,,
почему,why,forma,form,vorm,form,,,
земля,"earth, land",frase,sentence,zin,sentence,,,
